题目
"已知复数$z = (\frac{1 - i}{1 + i})^{2}$，则$z=$（）。
"已知正项等比数列$\{a_{n}\}$，向量$\overrightarrow{a} = (a_{3}, - 8)$，$\overrightarrow{b} = (a_{7},2)$，若$\overrightarrow{a} \perp \overrightarrow{b}$，则$\log_{2}a_{1} + \log_{2}a_{2} + \cdots + \log_{2}a_{9} =$（ ）。
A. 12
B. 16
C. 18
D. $6 + \log_{2}5$"
"在区间$(0,\frac{\pi}{2}]$随机取1个数$x$，则$x$使得$\sin x+\cos x>\frac{\sqrt{6}}{2}$的概率为（）。
A. $\frac{1}{6}$
B. $\frac{1}{3}$
C. $\frac{2}{3}$
D. $\frac{3}{4}$"
"已知$\tan\alpha=\frac{1}{2}$，则$\frac{\sin(\alpha+\frac{\pi}{2})-\cos(\frac{3\pi}{2}-\alpha)}{\cos(-\alpha)-\sin(\pi - \alpha)}=$（）。
A. -1
B. 1
C. -3
D. 3"
"下列函数中，既是定义域上的奇函数又存在极小值的是（）。
A. $f(x)=x\sin x$
B. $f(x)=x+\frac{1}{x}$
C. $f(x)=e^{x}+\frac{1}{e^{x}}$
D. $f(x)=|x + 1|-|x - 1|$"
"第33届夏季奥运会将于2024年7月26日至8月11日在法国巴黎举行，中国队将派甲、乙、丙、丁4名男子短跑运动员参加男子$4\times100m$接力比赛，如果甲不能跑第一棒，乙不能跑第四棒，参赛方法共有（）种。
A. 10
B. 12
C. 14
D. 18"
"我国古代数学名著《算法统宗》中说：九百九十六斤棉，赠分八子做盘缠；次第每人多十七，要将第八数来言；务要分明依次第，孝和休惹外人传。说的是，有996斤棉花要赠送给8个子女做旅费，从第1个孩子开始，以后每人依次多17斤，直到第8个孩子为止……，根据这些信息第三个孩子分得（）斤棉花。
A. 99
B. 116
C. 133
D. 150"
"已知点$A$是$\alpha$的终边与单位圆的交点，若$A$的横坐标为$-\frac{4}{5}$，则$\cos2\alpha =$（ ）。
A. $\frac{2}{5}$
B. $-\frac{2}{5}$
C. $\frac{7}{25}$
D. $-\frac{7}{25}$"
"已知$z_1$，$z_2$是复数，满足$|z_1 + z_2| = 4$，$|z_1| = 3$，$|z_1 - z_2|=\sqrt{10}$，则$|z_1\cdot z_2|=$（）。
A. $\frac{3}{2}$
B. 3
C. $3\sqrt{3}$
D. 6"
"设双曲线$C:\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}} = 1(a>0,b>0)$的左、右焦点分别为$F_1$，$F_2$，过$F_2$的直线与双曲线$C$的右支交于$A$，$B$两点，且$\angle F_1AF_2 = 60^{\circ}$，$3|AF_2| = 5|BF_2|$，则双曲线$C$的离心率为（）。
A. $\frac{\sqrt{5}}{2}$
B. $\frac{\sqrt{7}}{2}$
C. $\frac{\sqrt{10}}{2}$
D. $\frac{\sqrt{13}}{2}$"
"若$|\vec{a} + \vec{b}| = |\vec{a} - \vec{b}| = \frac{2\sqrt{3}}{3}|\vec{a}|$，则向量$\vec{a} + \vec{b}$与$\vec{a}$的夹角为（）。
A. $\frac{\pi}{6}$
B. $\frac{\pi}{3}$
C. $\frac{2\pi}{3}$
D. $\frac{5\pi}{6}$"
"已知函数$f(x) = e^x + x - 2$的零点为$a$，函数$g(x) = \ln x + x - 2$的零点为$b$，则下列不等式中成立的是（ ）。
A. $e^a + \ln b > 2$
B. $e^a + \ln b < 2$
C. $a^2 + b^2 < 3$
D. $ab > 1$"
"甲乙两名同学参加系列知识问答节目，甲同学参加了5场，得分是3，4，5，5，8，乙同学参加了7场，得分是3，3，4，5，5，7，8，那么有关这两名同学得分数据下列说法正确的是（）。
A. 得分的中位数甲比乙要小
B. 两人的平均数相同
C. 两人得分的极差相同
D. 得分的方差甲比乙小"
"在直角坐标系$xOy$中，角$\alpha$的顶点是原点，始边与$x$轴正半轴重合，终边与单位圆交于点$A$，角$\alpha + \beta$的终边交单位圆于点$B$且$\alpha$，$\beta\in(0, \frac{\pi}{2})$。记$A(x_1, y_1)$，$B(x_2, y_2)$，若$x_2 = -\frac{1}{3}$且$\overrightarrow{OA}\cdot\overrightarrow{OB} = \frac{\sqrt{2}}{2}$，那么$x_1 + y_1 =$\_\_\_\_\_\_。"
"已知侧棱和底面垂直的三棱柱$ABC - A_1B_1C_1$的所有棱长均为3，$D$为侧棱$CC_1$的中点，$M$为侧棱$AA_1$上一点，且$A_1M = 1$，$N$为$B_1C_1$上一点，且$MN\parallel$平面$ABD$，则$NB_1$的长为（）。
A. 1
B. 2
C. $\frac{3}{2}$
D. $\frac{1}{2}$"
"若“$\exists x\in(0, +\infty)$，使$x^{2}-ax + 4<0$”是假命题，则实数$a$的取值范围为\_\_\_\_\_\_。"
已知抛物线$C:x^{2}=4y$，圆$O:x^{2}+y^{2}=1$，直线$l$与抛物线$C$和圆$O$分别切于$P$、$Q$两点，则点$P$的纵坐标为\_\_\_\_\_\_。
"若$m$，$n$是两条不同的直线，$\alpha$，$\beta$，$\gamma$是三个不同的平面，则下列为真命题的是（）。
A. 若$m\subset\beta$，$\alpha\perp\beta$，则$m\perp\alpha$
B. 若$m\parallel\alpha$，$n\parallel\alpha$，则$m\parallel n$
C. 若$m\perp\beta$，$m\parallel\alpha$，则$\alpha\perp\beta$
D. 若$\alpha\perp\gamma$，$\alpha\perp\beta$，则$\beta\perp\gamma$"
"若曲线$y = -\sqrt{x + 1}$在点$(0,-1)$处的切线与曲线$y = \ln x$在点$P$处的切线垂直，则点$P$的坐标为（）。
A. $(e,1)$
B. $(1,0)$
C. $(2,\ln2)$
D. $(\frac{1}{2},-\ln2)$"
"若实数列$\{a_{n}\}$满足$\forall n\in\  N^{\ast}$，有$a_{n}+a_{n + 2}\geq2a_{n + 1}$，称数列$\{a_{n}\}$为“$T$数列”。
（1）判断$a_{n}=n^{2}$，$b_{n}=\ln n$是否为“$T$数列”，并说明理由；
（2）若数列$\{a_{n}\}$为“$T$数列”，证明：对于任意正整数$k,m,n$，且$k < m < n$，都有$\frac{a_{n}-a_{m}}{n - m}\geq\frac{a_{m}-a_{k}}{m - k}$；
（3）已知数列$\{a_{n}\}$为“$T$数列”，且$\sum_{i = 1}^{2024}a_{i}=0$。令$M=\max\{|a_{1}|,|a_{2024}|\}$，其中$\max\{a,b\}$表示$a,b$中的较大者。证明：$\forall k\in\{1,2,3,\cdots,2024\}$，都有$-\frac{2025}{2023}M\leq a_{k}\leq M$。"
已知$a > b > 1$，若$\log_{a}b + \log_{b}a = \frac{10}{3}$，$a^b = b^a$，则$a + b =$\_\_\_\_\_\_。
"已知圆锥的底面圆的半径为1，其侧面展开图是一个圆心角为$\frac{\pi}{2}$的扇形，则该圆锥的母线长为（）。
A. $\frac{5}{2}$
B. 3
C. $\frac{7}{2}$
D. 4"
已知数列$\{a_n\}$满足$a_1 = 1$，$a_{n + 1} = \frac{3a_n}{2a_n + 3}$，则$a_7 =$\_\_\_\_\_\_。
"已知直线$y = x + 1$与圆$C:x^{2}+y^{2}=5$相交于$M$，$N$两点，$O$为坐标原点，则$\triangle MON$的面积为（）。
A. $\frac{3}{2}$
B. 2
C. $\frac{5}{2}$
D. 4"
"已知函数$f(x)=2\sin(2x-\frac{\pi}{3})\cos(2x+\frac{\pi}{3})$，则下列结论正确的是（）。
A. $f(x)$的最小正周期为$\pi$
B. $f(x)$在$(-\frac{\pi}{8},\frac{\pi}{4})$上单调递增
C. $f^{\prime}(x)$为偶函数
D. $f(x)$的最小值为$\frac{\sqrt{3}}{2}$"
"已知$F_{1}(-c,0)$，$F_{2}(c,0)$分别是双曲线$C:\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}} = 1$（$a > 0$，$b > 0$）的左右焦点，若过$F_{1}$的直线与圆$(x - \frac{1}{2}c)^{2}+y^{2}=c^{2}$相切，与$C$在第一象限交于点$P$，且$PF_{2}\perp x$轴，则$C$的离心率为（）。
A. $2\sqrt{5}$
B. 3
C. $\frac{5}{2}$
D. $\sqrt{5}$"
"过双曲线$C:\frac{x^{2}}{4}-y^{2}=1$的左焦点$F_{1}$作倾斜角为$\theta$的直线$l$交$C$于$M$，$N$两点。若$\overrightarrow{MF_{1}} = 3\overrightarrow{F_{1}N}$，则$|\cos\theta|=$（）。
A. $\frac{\sqrt{10}}{10}$
B. $\frac{3\sqrt{10}}{10}$
C. $\frac{2\sqrt{5}}{5}$
D. $\frac{\sqrt{5}}{5}$"
"将8个数学竞赛名额全部分给4个不同的班，每个班至少有1个名额，则不同的分配方案种数为（）。
A. 15
B. 35
C. 56
D. 70"
"已知抛物线$\Gamma:y^{2}=16x$，过点$N(6,0)$作直线$l_{1}$，$l_{2}$，直线$l_{1}$与$\Gamma$交于$A$，$C$两点.  $A$在$x$轴上方，直线$l_{2}$与$\Gamma$交于$B$，$D$两点，$D$在$x$轴上方，连接$AB$，$CD$，$AD$，$BC$，若直线$AB$过点$M(2,0)$，则下列结论正确的是（）。
A. 若直线$AB$的斜率为1，则直线$CD$的斜率为$\frac{1}{3}$
B. 直线$CD$过定点$(18,0)$
C. 直线$AD$与直线$BC$的交点在直线$x = - 4$上
D. $\triangle ABN$与$\triangle CDN$的面积之和的最小值为$160\sqrt{2}$"
"设$M$，$N$，$U$均为非空集合，且满足$M\subsetneqq N\subsetneqq U$，则$(\complement_{U}M)\cap(\complement_{U}N) =$（）。
A. $M$
B. $N$
C. $\complement_{U}M$
D. $\complement_{U}N$"
"已知定义在$ R$上的奇函数$f(x)$连续，函数$f(x)$的导函数为$f^{\prime}(x)$．当$x > 0$时，$f^{\prime}(x)\cos x>f(x)\sin x + e\cdot f^{\prime}(x)$，其中$e$为自然对数的底数，则（）。
A. $f(x)$在$ R$上为减函数
B. 当$x > 0$时，$f(x)<0$
C. $f(\frac{\pi}{2})>f(\frac{3\pi}{2})$
D. $f(x)$在$ R$上有且只有1个零点"
"已知$O$为坐标原点，$\overrightarrow{P_{1}P} = - 2\overrightarrow{PP_{2}}$，若$P_{1}(1,2)$、$P_{2}(2,-1)$，则与$\overrightarrow{OP}$共线的单位向量为（ ）。
A. $(3,-4)$
B. $(3,-4)$或$(-3,4)$
C. $(\frac{3}{5},-\frac{4}{5})$或$(-\frac{3}{5},\frac{4}{5})$
D. $(\frac{3}{5},-\frac{4}{5})$"
已知数列$\{a_{n}\}$的前$n$项和为$S_{n}$，若$a_{n}=\lambda n + 1$，$a_{10}=21$，则$\lambda =$\_\_\_\_\_\_，$S_{9}=$\_\_\_\_\_\_。
在直三棱柱$ABC - A_{1}B_{1}C_{1}$中，$AB\perp AC$，$AB = AC = 4$，$AA_{1}=6$，$E$为$CC_{1}$的中点，点$F$满足$\overrightarrow{AF}=2\overrightarrow{FA_{1}}$，则异面直线$EF$，$BC_{1}$所成角的余弦值为\_\_\_\_\_\_。
"已知实数$x$，$y$满足$\begin{cases}x + 2y + 1\leq0\\2x - y + 2\geq0\\x - 2y - 2\leq0\end{cases}$，则$x + 1$的最小值是（）。
A. -1
B. -2
C. $\frac{1}{2}$
D. $\frac{3}{2}$"
"在$\triangle ABC$中，内角$A$，$B$，$C$的对边分别为$a$，$b$，$c$，$a = 2$，$\frac{\sqrt{5}}{5}\sin A = 1 - \cos A$。
（1）求$\cos A$；
（2）若$AD$为$\triangle ABC$的中线，且$AD = \sqrt{3}$，求$\triangle ABC$的面积$S$。"
"若$-\frac{1}{2}+\frac{\sqrt{3}}{2}i$是关于$x$的实系数方程$ax^{2}+bx + 1 = 0$的一个复数根，且$z = a + bi$，则$\frac{z}{1 + z}=$（）。
A. $\frac{3}{5}+\frac{1}{5}i$
B. $\frac{1}{5}+\frac{3}{5}i$
C. $\frac{3}{5}-\frac{1}{5}i$
D. $\frac{1}{5}-\frac{3}{5}i$"
"若函数$f(x)=a^{x}$与其反函数的图像有交点，则实数$a$的值可以是（）。
A. 1
B. $\sqrt{2}$
C. 2
D. $e$"
"甲、乙等6名高三同学计划今年暑假在$A$，$B$，$C$，$D$四个景点中选择一个打卡游玩，若每个景点至少有一个同学去打卡游玩，每位同学都会选择一个景点打卡游玩，且甲、乙都单独1人去某一个景点打卡游玩，则不同游玩方法有（）。
A. 96种
B. 132种
C. 168种
D. 204种"
"若直线$l:x - y + m^{2}-6 = 0$平分圆$C:x^{2}+2mx + y^{2}+4 = 0$，则实数$m$的值为（）。
A. -2
B. 2
C. 3
D. $-2或3$"
"已知函数$f(x)=\sin x\cdot\sin2x$，$x\in[0,2\pi]$。下列有关$f(x)$的说法中，正确的是\_\_\_\_\_\_（填写你认为正确的序号）。  
①不等式$f(x)>0$的解集为$\{x|0<x<\frac{\pi}{4}或\frac{3\pi}{4}<x<\pi\}$；  
②$f(x)$在区间$[0,2\pi]$上有四个零点；  
③$f(x)$的图象关于直线$x = \pi$对称；  
④$f(x)$的最大值为$\frac{4\sqrt{3}}{9}$；  
⑤$f(x)$的最小值为$-\frac{\sqrt{3}}{2}$。  "
"已知函数$f(x)=\begin{cases}\sin\pi x,x\in[0,2]\\\log_{2023}(x - 1),x\in(2,+\infty)\end{cases}$，若满足$f(a)=f(b)=f(c)$（$a$、$b$、$c$互不相等），则$a + b + c$的取值范围是（）。
A. $(3,2023.5)$
B. $(3,2024)$
C. $[3,2024)$
D. $[3,2025)$"
"下列命题正确的是（）。
A. 数据4，6，7，7，8，9，11，14，15，19的75%分位数为11
B. 已知变量$x$，$y$的线性回归方程$\hat{y}=0.3x-\overline{x}$，且$\overline{y}=2.8$，则$\overline{x}=-4$
C. 已知随机变量$X\sim B(7,0.5)$，$P(X = k)$最大，则$k$的取值为3或4
D. 已知随机变量$X\sim N(0,1)$，$P(X\geq1)=p$，则$P(-1 < X < 0)=\frac{1}{2}-p$"
已知集合$A = \{x|x\geq a\}$，$B = \{x|\frac{x + 1}{x - 1}\geq2\}$，若$A\cap B\neq\varnothing$且$A\cup B\neq A$，则实数$a$的取值范围是\_\_\_\_\_\_。
"已知函数$f(x)=xe^{x}+ax^{2}+2ax - 1$。
（1）当$a = \frac{1}{2e^{2}}$时，求$f(x)$在$x = - 2$处的切线方程；
（2）当$a > - \frac{1}{e} - 1$时，讨论$f(x)$零点的个数。"
已知实数$x$，$y$满足$x|x|+\frac{y|y|}{3}=1$，则$|\sqrt{3}x + y - 5|$的取值范围是\_\_\_\_\_\_。
"已知$x = 3$是函数$f(x)=a\ln(1 + x)+x^{2}-10x$的一个极值点。
（1）求$a$；
（2）求函数$f(x)$的单调区间；
（3）若函数$y = f(x)-b$有$3$个零点，求$b$的取值范围。"
"19世纪俄国数学家切比雪夫在研究统计的规律中，论证并用标准差表达了一个不等式，该不等式被称为切比雪夫不等式，它可以使人们在随机变量$X$的分布未知的情况下，对事件$|X - \mu|<\varepsilon$做出估计。若随机变量$X$具有数学期望$E(X)=\mu$，方差$D(X)=\sigma^{2}$，则切比雪夫定理可以概括为：对任意正数$\varepsilon$，不等式$P(|X - \mu|<\varepsilon)\geq1-\frac{\sigma^{2}}{\varepsilon^{2}}$成立。已知在某通信设备中，信号是由密文“$A$”和“$B$”组成的序列，现连续发射信号$n$次，记发射信号“$A$”的次数为$X$。
（1）若每次发射信号“$A$”和“$B$”的可能性是相等的，  
（1.1）当$n = 5$时，求$P(X\leq2)$；  
（1.2）为了至少有$98\%$的把握使发射信号“$A$”的频率在$0.4$与$0.6$之间，试估计信号发射次数$n$的最小值；   
（2）若每次发射信号“$A$”和“$B$”的可能性是$7:3$，已知在$2024$次发射中，信号“$A$”发射$m$次的概率最大，求$m$的值。"
"已知全集$U = \{0,1,2,3,4,5,6,7,8\}$，集合$A = \{1,2,4\}$，集合$B = \{0,3,5,6\}$，则$(\complement_{U}A)\cap B$等于（）。
A. $\{4\}$
B. $\{7,8\}$
C. $\{3,5,6\}$
D. $\{3,5,6,0\}$"
"在平面直角坐标系$xOy$中，曲线$C_{1}$是圆心在$(0,2)$，半径为$2$的圆，曲线$C_{2}$的参数方程为$\begin{cases}x = 2\sqrt{2}\cos t \\ y = 2\sqrt{2}\sin(t - \frac{\pi}{4}) \end{cases}$（$t$为参数且$0\leq t\leq\frac{\pi}{2}$），以坐标原点$O$为极点，$x$轴正半轴为极轴建立极坐标系。
（1）求曲线$C_{1}$的极坐标方程；
（2）若曲线$C_{2}$与坐标轴交于$A$、$B$两点，点$P$为线段$AB$上任意一点，直线$OP$与曲线$C_{1}$交于点$M$（异于原点），求$\frac{|OM|}{|OP|}$的最大值。"
"若复数$z$满足$i=\frac{1 - i}{z}$（$i$为虚数单位），则$z$的虚部是（）。
A. $i$
B. 1
C. $-i$
D. -1"
"已知$\sqrt{2}\sin\alpha=\sin(\alpha-\frac{\pi}{4})$，则$\cos2\alpha+\cos^{2}\alpha = $（）。
A. $\frac{3}{4}$
B. $\frac{1}{2}$
C. $-\frac{1}{4}$
D. $-\frac{1}{2}$"
在四棱锥$S - ABCD$中，$AB\parallel CD$，$AD = AB = BC = \frac{1}{2}CD = 1$，$SA = \frac{\sqrt{10}}{2}$，$SB = SD = \sqrt{3}$，则三棱锥$S - ABD$外接球的表面积为\_\_\_\_\_\_。
"已知函数$f(x)=\begin{cases}4^x, x\leq0 \\\log_2x, x > 0\end{cases}$，则$f[f( - 2)]$的值为\_\_\_\_\_\_。"
"在$\triangle ABC$中，角$A$，$B$，$C$的边分别为$a$，$b$，$c$，$3b\cos C - 3c\cos B = a$，则$\tan(B - C)$的最大值为（）。
A. $\sqrt{3}$
B. 2
C. $\frac{\sqrt{3}}{4}$
D. $\frac{\sqrt{2}}{4}$"
"已知$f(x)=x^2 - x + 1$，则曲线$y = f(x)$在点$(1,f(1))$处的切线方程为\_\_\_\_\_\_。"
"设函数$f(x)=\frac{\sin x}{e^{x}}$。
（1）求$f(x)$的单调区间；
（2）设函数$g(x)=f(x)-a$，求$g(x)$在$[0,3\pi]$的零点个数。"
已知数列$\{a_n\}$的前$n$项和为$S_n$，且$a_1 = 1$，$a_{n + 1} - a_n = 2^n$，则$S_n =$\_\_\_\_\_\_。
"已知矩形$ABCD$，$AB = 3$，$AD=\sqrt{3}$，$M$为边$DC$上一点且$DM = 1$，$AM$与$BD$交于点$Q$，将$\triangle ADM$沿着$AM$折起，使得点$D$折到点$P$的位置，则$\sin\angle PBQ$的最大值是（）。
A. $\frac{1}{3}$
B. $\frac{\sqrt{3}}{3}$
C. $\frac{2}{3}$
D. $\frac{\sqrt{10}}{10}$"
"已知集合$A = \{y|y = x + \frac{1}{x}\}$，$B = \{x\in N|\sqrt{x}<2\}$，则$(\complement_{R}A)\cap B=$（）。
A. $\{x|0\leq x<2\}$
B. $\{0,1\}$
C. $\{x|2\leq x<4\}$
D. $\{2,3\}$"
一个圆锥的顶点和底面圆都在半径为2的球体表面上，当圆锥的体积最大时，其底面圆的半径为\_\_\_\_\_\_。
"已知$\bar{i}$和$\bar{j}$是两个正交单位向量，$\bar{a}=2\bar{i}+3\bar{j}$，$\bar{b}=\bar{i}+k\bar{j}$且$\vert\bar{a}-\bar{b}\vert=\sqrt{2}$，则$k =$（）。
A. 2或3
B. 2或4
C. 3或5
D. 3或4"
"已知函数$f(x)=\sin(3x+\frac{\pi}{3})$，下列说法正确的是（）。
A. $f(x)$的最小正周期为$\frac{2\pi}{3}$
B. 点$(\frac{\pi}{6},0)$为$f(x)$图象的一个对称中心
C. 若$f(x)=a(a\in R)$在$x\in[-\frac{\pi}{18},\frac{\pi}{9}]$上有两个实数根，则$\frac{\sqrt{3}}{2}\leq a < 1$
D. 若$f(x)$的导函数为$f^{\prime}(x)$，则函数$y = f(x)+f^{\prime}(x)$的最大值为$\sqrt{10}$"
已知各项均为正数的等比数列$\{a_{n}\}$的前$n$项和为$S_{n}$，$a_{2}=9$，$a_{2}S_{4}-10a_{1}-90 = 0$，则$a_{9}=$\_\_\_\_\_\_。
已知函数$f(x)=x^{3}(a\cdot2^{x}-2^{-x})$是偶函数，则$a = $\_\_\_\_\_\_。
"已知函数$f(x)=\cos3x - 3\cos2x - 3\cos x + 1$，$x\in[0,2\pi]$，则函数$f(x)$的零点是\_\_\_\_\_\_。"
已知不等式$x\ln x - m\ln x\geq x + n$对$\forall x > 0$恒成立，则当$\frac{n}{m}$取最大值时，$m =$\_\_\_\_\_\_。
"已知$a$，$b$，$c$分别为$\triangle ABC$三个内角$A$，$B$，$C$的对边，且满足$a\sin B - \sqrt{3}b\cos A = 0$，$a = 4$。
（1）求$\angle A$；
（2）若$D$是$BC$中点，$AD = 3$，求$\triangle ABC$面积。"
"某重点大学为了解准备保研或者考研的本科生每天课余学习时间，随机抽取了100名这类大学生进行调查，将收集到的课余学习时间（单位：h）整理后得到如下表格：
|课余学习时间|$[1,3)$|$[3,5)$|$[5,7)$|$[7,9)$|$[9,11]$|
| ---- | ---- | ---- | ---- | ---- | ---- |
|人数|5|10|25|40|20|
（1）估计这100名大学生每天课余学习时间的中位数；
（2）根据分层抽样的方法从课余学习时间在$[7,9)$和$[9,11]$这两组中抽取6人，再从这6人中随机抽取2人，求抽到的2人的课余学习时间都在$[7,9)$的概率。"
"已知数列$\{a_{n}\}$满足$a_{1}=1$，$a_{n + 1}=3a_{n}+1$。
（1）证明$\{a_{n}+\frac{1}{2}\}$是等比数列，并求$\{a_{n}\}$的通项公式；
（2）证明：$\frac{1}{a_{1}}+\frac{1}{a_{2}}+\cdots+\frac{1}{a_{n}}<\frac{3}{2}$。"
"命题“$\exists x_{0}\in R$，$x_{0}^{2}-2x_{0}+1\leq0$”的否定为（）。
A. $\exists x_{0}\in R$，$x_{0}^{2}-2x_{0}+1>0$
B. $\forall x\in R$，$x^{2}-2x + 1>0$
C. $\forall x\in R$，$x^{2}-2x + 1\leq0$
D. $\forall x\in R$，$x^{2}-2x + 1\geq0$"
"若$\cos(\alpha-\frac{\pi}{4})=\frac{1}{3}$，则$\sin2\alpha =$ （）。
A. $-\frac{5}{9}$
B. $\frac{5}{9}$
C. $-\frac{7}{9}$
D. $\frac{7}{9}$"
"记$\triangle ABC$的内角$A$，$B$，$C$的对边分别为$a$，$b$，$c$，且$2b\sin C = \frac{3\sin A}{1 + \cos A}$。
（1）求证：$\sin B$，$\sin A$，$\sin C$是等差数列；
（2）求$\tan A$的最大值。"
"已知函数$y = \log_{a}(x - 1)+1$（$a>0$，且$a\neq1$）的图象恒过定点$A$，若点$A$在直线$mx + ny - 1 = 0$（$m>0$，$n>0$）上，则$\frac{4}{m}+\frac{1}{n}$的最小值为（）。
A. 13
B. $8\sqrt{2}$
C. $9 + 4\sqrt{2}$
D. 8"
